,Temperatura_horno [°C],Peso_total_fusion [T],Energia [kWh],Tiempo_total_fusion [h],Consumo_combustible [kWh]
4884,1530,34,7581,34,392
4885,1574,34,7677,24,391
4886,1560,34,7652,26,382
4887,1552,33,7688,46,397
4888,1553,35,7561,26,393
4889,1525,32,7670,30,387
4890,1529,32,7546,31,383
4891,1561,34,7651,37,382
4892,1511,35,7567,45,381
4893,1571,34,7679,36,391
4894,1587,35,7509,45,384
4895,1536,33,7627,30,389
4896,1514,35,7580,42,390
4897,1583,34,7638,27,387
4898,1564,33,7603,24,389
4899,1575,35,7616,25,387
4900,1527,35,7524,46,389
4901,1527,33,7536,35,397
4902,1505,34,7596,34,389
4903,1581,33,7559,24,398
4904,1555,33,7531,35,384
4905,1591,32,7659,47,396
4906,1563,33,7586,24,396
4907,1596,33,7580,43,387
4908,1504,33,7613,38,395
4909,1593,34,7515,34,389
4910,1579,35,7610,30,389
4911,1510,32,7695,26,382
4912,1521,32,7539,39,393
4913,1586,35,7545,41,381
4914,1596,34,7607,44,385
4915,1511,33,7633,25,386
4916,1590,35,7585,34,384
4917,1560,34,7576,29,384
4918,1564,35,7608,42,398
4919,1577,34,7519,43,393
4920,1599,33,7631,27,381
4921,1515,34,7618,33,383
4922,1529,32,7517,42,383
4923,1536,35,7599,44,380
4924,1545,34,7675,44,383
4925,1573,33,7662,45,386
4926,1567,32,7611,40,386
4927,1502,33,7519,32,399
4928,1564,35,7550,46,383
4929,1569,35,7535,46,389
4930,1539,34,7625,44,390
4931,1593,32,7663,34,398
4932,1527,33,7582,36,398
4933,1584,33,7604,27,380
4934,1579,34,7609,34,387
4935,1544,33,7590,41,398
4936,1541,32,7588,38,399
4937,1593,34,7636,46,390
4938,1556,34,7685,40,398
4939,1567,33,7633,44,395
4940,1588,33,7514,24,397
4941,1550,32,7529,46,380
4942,1587,34,7659,25,394
4943,1521,35,7663,26,384
4944,1500,35,7669,37,384
4945,1510,34,7656,42,394
4946,1566,34,7508,34,383
4947,1503,32,7684,27,396
4948,1530,34,7556,31,382
4949,1523,34,7672,35,385
4950,1579,33,7612,32,384
4951,1578,33,7652,38,384
4952,1514,32,7674,31,395
4953,1509,33,7604,24,399
4954,1566,33,7644,27,385
4955,1598,32,7531,45,394
4956,1537,33,7595,37,385
4957,1577,32,7651,28,392
4958,1565,33,7621,42,388
4959,1570,35,7525,24,398
4960,1519,33,7645,29,382
4961,1559,32,7590,31,385
4962,1514,34,7630,40,388
4963,1575,32,7617,44,391
4964,1593,35,7685,24,389
4965,1507,34,7564,41,382
4966,1534,32,7652,44,393
4967,1554,35,7553,47,391
4968,1540,33,7577,29,388
4969,1550,33,7579,44,397
4970,1572,35,7662,45,398
4971,1517,34,7507,43,391
4972,1543,34,7649,29,388
4973,1502,33,7661,42,395
4974,1590,35,7500,28,393
4975,1508,33,7648,46,391
4976,1592,33,7567,47,386
4977,1576,33,7678,28,396
4978,1558,35,7612,45,390
4979,1509,34,7519,31,395
4980,1502,35,7574,33,385
4981,1597,34,7512,30,398
4982,1582,32,7662,38,391
4983,1582,35,7635,28,395
4984,1525,32,7511,38,387
4985,1571,34,7653,40,383
4986,1523,32,7571,28,396
4987,1525,35,7635,41,382
4988,1590,34,7697,36,390
4989,1537,33,7577,40,383
4990,1530,32,7598,33,380
4991,1504,35,7510,39,389
4992,1575,33,7694,33,399
4993,1548,35,7516,35,394
4994,1542,32,7699,38,392
4995,1533,34,7515,27,387
4996,1532,35,7599,39,383
4997,1531,35,7581,31,395
4998,1514,35,7558,40,385
4999,1553,32,7523,37,394
5000,1527,33,7629,35,380
5001,1513,33,7659,37,397
5002,1526,35,7621,47,397
5003,1543,34,7516,28,380
5004,1506,32,7571,42,397
5005,1540,32,7597,35,396
5006,1554,32,7511,24,389
5007,1568,35,7519,37,398
5008,1582,34,7522,37,395
5009,1563,32,7509,30,392
5010,1530,35,7515,26,396
5011,1533,34,7533,40,388
5012,1560,33,7638,43,384
5013,1534,34,7505,31,391
5014,1588,35,7670,44,383
5015,1538,34,7580,30,381
5016,1589,34,7659,40,393
5017,1508,34,7516,35,394
5018,1522,35,7624,33,381
5019,1531,35,7666,46,384
5020,1538,34,7683,45,387
5021,1537,33,7654,43,396
5022,1574,35,7541,24,390
5023,1580,35,7535,46,397
5024,1511,35,7663,45,394
5025,1578,33,7650,25,390
5026,1591,33,7574,46,381
5027,1580,34,7692,31,392
5028,1572,32,7534,24,398
5029,1542,34,7646,29,384
5030,1568,32,7677,42,398
5031,1513,32,7566,25,396
5032,1553,32,7613,34,382
5033,1573,35,7699,36,381
5034,1525,32,7555,27,395
5035,1559,33,7647,39,395
5036,1525,34,7569,45,389
5037,1555,32,7547,27,381
5038,1550,33,7503,27,399
5039,1520,35,7659,27,394
5040,1593,35,7531,38,386
5041,1502,32,7552,27,383
5042,1554,34,7514,47,383
5043,1560,33,7648,44,384
5044,1541,34,7612,24,383
5045,1574,33,7632,39,397
5046,1510,32,7560,43,393
5047,1536,34,7562,27,386
5048,1562,33,7554,37,387
5049,1511,35,7685,38,384
5050,1515,34,7563,26,387
5051,1542,33,7540,34,387
5052,1509,33,7600,39,396
5053,1503,33,7608,24,394
5054,1550,34,7680,40,390
5055,1549,35,7567,39,392
5056,1520,33,7542,29,391
5057,1551,33,7566,46,394
5058,1576,32,7521,35,397
5059,1564,32,7552,35,386
5060,1577,34,7501,46,387
5061,1591,33,7645,46,382
5062,1519,34,7661,32,384
5063,1583,35,7639,42,394
5064,1508,33,7666,45,399
5065,1525,32,7558,47,383
5066,1507,35,7697,34,382
5067,1514,32,7538,25,383
5068,1581,34,7642,31,383
5069,1545,35,7506,39,381
5070,1520,34,7536,42,382
5071,1535,32,7628,29,387
5072,1528,35,7566,26,387
5073,1574,34,7627,26,398
5074,1549,33,7508,28,394
5075,1595,34,7636,38,389
5076,1594,35,7664,41,388
5077,1520,35,7585,34,382
5078,1596,35,7581,47,399
5079,1582,34,7621,35,382
5080,1593,32,7503,37,386
5081,1537,33,7667,33,381
5082,1544,34,7605,47,393
5083,1542,34,7594,28,388
5084,1538,32,7534,40,392
5085,1585,35,7550,41,390
5086,1538,32,7549,35,393
5087,1551,33,7681,33,396
5088,1508,32,7594,41,393
5089,1530,34,7607,47,380
5090,1520,33,7504,41,389
5091,1577,35,7652,41,384
5092,1585,35,7634,36,383
5093,1553,32,7642,47,397
5094,1593,34,7572,37,389
5095,1558,32,7656,27,391
5096,1509,32,7637,24,387
5097,1586,34,7584,45,386
5098,1550,34,7692,39,394
5099,1594,33,7683,28,392
5100,1545,33,7514,43,390
5101,1521,34,7685,47,393
5102,1517,33,7641,32,387
5103,1526,32,7679,40,393
5104,1512,35,7617,41,399
5105,1538,34,7573,24,389
5106,1517,32,7672,47,381
5107,1506,32,7665,44,396
5108,1505,35,7537,44,386
5109,1535,35,7557,43,389
5110,1562,35,7639,26,380
5111,1589,32,7502,45,383
5112,1552,33,7603,36,386
5113,1574,34,7683,47,382
5114,1573,35,7562,35,391
5115,1514,33,7649,42,397
5116,1596,32,7606,31,396
5117,1564,33,7691,41,398
5118,1530,33,7677,28,391
5119,1539,35,7686,43,382
5120,1592,33,7667,36,390
5121,1523,32,7548,24,393
5122,1543,35,7562,39,387
5123,1596,35,7698,47,397
5124,1516,33,7555,37,384
5125,1585,34,7670,28,391
5126,1537,32,7667,32,385
5127,1536,33,7692,26,383
5128,1557,32,7644,27,387
5129,1589,33,7624,47,386
5130,1500,32,7538,25,397
5131,1508,32,7575,44,382
5132,1560,35,7506,29,392
5133,1548,35,7637,30,394
5134,1563,33,7685,25,399
5135,1592,35,7552,34,394
5136,1567,34,7633,47,389
5137,1572,35,7513,44,382
5138,1578,35,7641,32,391
5139,1599,34,7565,27,387
5140,1505,32,7538,26,396
5141,1518,35,7693,45,387
5142,1545,35,7541,37,387
5143,1504,32,7672,30,384
5144,1544,34,7550,26,386
5145,1516,33,7679,38,388
5146,1552,33,7660,31,380
5147,1531,34,7666,27,382
5148,1559,33,7535,46,393
5149,1566,32,7556,38,391
5150,1593,32,7659,34,391
5151,1530,34,7505,41,383
5152,1533,32,7676,35,389
5153,1516,32,7636,36,393
5154,1548,35,7691,36,384
5155,1557,33,7589,46,391
5156,1569,35,7564,29,389
5157,1502,33,7600,24,383
5158,1513,34,7574,30,387
5159,1532,32,7504,34,396
5160,1520,35,7675,40,382
5161,1586,32,7622,38,399
5162,1535,33,7563,26,390
5163,1512,33,7591,40,388
5164,1519,34,7588,41,398
5165,1502,32,7680,25,384
5166,1529,33,7524,35,391
5167,1504,33,7669,38,385
5168,1546,32,7611,30,391
5169,1565,32,7507,33,383
5170,1557,32,7651,42,386
5171,1570,32,7644,26,389
5172,1546,32,7540,41,391
5173,1572,35,7543,38,384
5174,1536,35,7667,29,398
5175,1538,34,7667,47,391
5176,1543,35,7611,27,387
5177,1537,35,7695,24,386
5178,1533,35,7580,41,386
5179,1537,32,7657,24,392
5180,1574,33,7682,43,396
5181,1575,32,7645,30,380
5182,1517,32,7674,36,383
5183,1577,33,7674,30,392
5184,1534,33,7641,35,386
5185,1517,35,7523,46,385
5186,1561,35,7689,43,397
5187,1532,34,7533,39,388
5188,1540,32,7554,33,385
5189,1576,32,7661,28,396
5190,1551,35,7634,42,391
5191,1502,34,7555,32,390
5192,1589,34,7616,34,391
5193,1587,32,7685,32,389
5194,1530,34,7550,28,382
5195,1519,32,7514,36,384
5196,1577,33,7552,38,389
5197,1582,35,7625,26,386
5198,1550,35,7547,45,390
5199,1569,32,7656,25,388
5200,1571,32,7623,24,392
5201,1547,35,7676,30,397
5202,1552,35,7529,34,397
5203,1550,32,7618,47,389
5204,1519,35,7603,41,391
5205,1524,33,7538,31,384
5206,1536,33,7691,24,392
5207,1571,35,7648,26,397
5208,1522,33,7554,45,387
5209,1590,33,7622,24,386
5210,1540,33,7528,32,380
5211,1598,32,7643,32,396
5212,1526,35,7695,44,399
5213,1591,33,7591,45,399
5214,1546,34,7544,33,384
5215,1592,32,7627,45,397
5216,1565,34,7527,31,395
5217,1572,32,7613,43,392
5218,1532,34,7692,35,393
5219,1541,35,7622,45,392
5220,1563,35,7565,25,383
5221,1520,32,7513,27,394
5222,1558,32,7540,28,394
5223,1505,33,7597,35,395
5224,1576,32,7519,47,392
5225,1530,32,7551,27,381
5226,1591,32,7529,34,399
5227,1514,32,7529,41,385
5228,1589,34,7509,46,395
5229,1547,33,7636,46,384
5230,1591,35,7594,37,397
5231,1556,35,7520,36,394
5232,1524,33,7602,41,399
5233,1570,32,7610,41,395
5234,1556,33,7533,47,383
5235,1521,34,7542,43,391
5236,1532,35,7669,25,389
5237,1567,32,7644,29,393
5238,1555,35,7538,38,399
5239,1583,32,7660,44,388
5240,1533,33,7597,33,380
5241,1585,33,7652,35,383
5242,1551,34,7652,29,380
5243,1544,33,7670,33,388
5244,1533,35,7562,43,388
5245,1524,32,7624,44,398
5246,1569,32,7639,24,391
5247,1562,33,7626,27,397
5248,1588,32,7604,32,390
5249,1596,34,7557,46,385
5250,1521,34,7546,46,382
5251,1587,33,7586,25,394
5252,1566,35,7646,47,394
5253,1575,33,7533,42,381
5254,1540,35,7564,28,393
5255,1509,33,7570,30,394
5256,1577,35,7567,47,395
5257,1559,33,7530,35,385
5258,1570,34,7654,45,399
5259,1564,35,7546,40,384
5260,1529,34,7542,40,381
5261,1599,35,7669,35,380
5262,1503,35,7644,25,395
5263,1522,32,7601,45,392
5264,1536,33,7535,45,395
5265,1560,32,7513,25,396
5266,1521,34,7507,35,393
5267,1518,34,7649,37,394
5268,1520,34,7570,45,385
5269,1559,32,7694,38,387
5270,1570,32,7532,47,394
5271,1558,34,7530,32,391
5272,1530,34,7605,41,385
5273,1575,33,7636,33,383
5274,1546,32,7649,45,398
5275,1549,35,7623,29,382
5276,1574,34,7587,30,399
5277,1589,35,7638,25,393
5278,1539,33,7552,25,386
5279,1537,34,7568,24,396
5280,1591,32,7510,47,398
5281,1514,33,7546,46,398
5282,1534,33,7679,45,388
5283,1574,35,7514,36,384
5284,1533,32,7562,41,380
5285,1566,32,7573,29,386
5286,1508,35,7524,25,388
5287,1512,34,7515,31,393
5288,1590,33,7592,29,397
5289,1522,32,7683,32,392
5290,1579,32,7679,37,398
5291,1550,35,7628,31,381
5292,1586,33,7522,35,388
5293,1559,34,7691,32,397
5294,1514,35,7694,28,387
5295,1533,32,7692,32,397
5296,1526,35,7627,26,386
5297,1511,32,7565,40,380
5298,1566,34,7505,32,389
5299,1590,32,7698,30,393
5300,1583,34,7635,47,387
5301,1598,32,7527,35,388
5302,1549,33,7597,28,394
5303,1547,32,7598,41,384
5304,1519,32,7595,26,399
5305,1581,34,7603,42,394
5306,1559,32,7694,39,397
5307,1515,32,7587,24,393
5308,1547,35,7674,45,391
5309,1580,34,7584,33,380
5310,1539,32,7669,33,381
5311,1555,35,7636,44,396
5312,1580,32,7602,35,396
5313,1599,35,7662,40,393
5314,1573,32,7553,29,394
5315,1584,35,7649,29,385
5316,1588,35,7643,29,385
5317,1588,33,7564,38,389
5318,1558,35,7697,42,390
5319,1519,32,7503,39,388
5320,1504,35,7581,28,398
5321,1516,35,7657,24,394
5322,1542,35,7595,29,385
5323,1596,32,7591,43,386
5324,1554,32,7653,39,391
5325,1590,32,7653,46,399
5326,1550,33,7686,27,398
5327,1567,35,7545,24,390
5328,1520,35,7643,28,380
5329,1504,33,7576,39,387
5330,1546,32,7679,44,396
5331,1519,32,7531,30,380
5332,1582,32,7543,32,399
5333,1500,32,7599,45,381
5334,1571,33,7532,40,380
5335,1559,35,7659,40,384
5336,1508,33,7653,47,398
5337,1565,32,7640,40,397
5338,1571,35,7582,31,395
5339,1574,35,7517,37,380
5340,1527,33,7501,33,391
5341,1549,34,7646,33,391
5342,1593,35,7634,36,397
5343,1559,33,7514,38,386
5344,1542,34,7557,43,384
5345,1535,32,7671,45,386
5346,1574,33,7539,42,385
5347,1551,35,7554,26,388
5348,1590,35,7514,47,393
5349,1579,33,7627,40,388
5350,1564,33,7673,40,399
5351,1586,35,7628,46,389
5352,1561,33,7693,44,380
5353,1512,33,7523,24,382
5354,1529,34,7646,41,381
5355,1537,33,7655,46,381
5356,1505,32,7509,35,396
5357,1569,35,7671,34,393
5358,1544,34,7642,41,399
5359,1537,32,7695,42,388
5360,1573,32,7580,32,393
5361,1580,32,7522,30,384
5362,1535,32,7620,46,383
5363,1542,34,7536,39,380
5364,1587,32,7638,42,399
5365,1551,35,7591,30,386
5366,1534,32,7622,29,384
5367,1513,34,7669,45,394
5368,1516,33,7699,35,384
5369,1521,35,7656,47,388
5370,1593,34,7658,43,395
5371,1558,32,7567,44,396
5372,1587,32,7545,25,391
5373,1565,32,7662,39,390
5374,1598,35,7608,25,380
5375,1598,34,7514,24,398
5376,1580,33,7631,47,380
5377,1556,34,7537,44,385
5378,1549,32,7598,34,397
5379,1524,34,7689,40,392
5380,1588,35,7638,46,393
5381,1552,32,7571,34,392
5382,1559,35,7664,29,384
5383,1514,33,7695,30,387
5384,1542,35,7642,40,385
5385,1570,33,7538,28,390
5386,1572,33,7651,46,395
5387,1518,35,7520,28,395
5388,1576,32,7667,42,392
5389,1590,35,7639,43,384
5390,1564,34,7585,46,387
5391,1510,33,7600,32,380
5392,1521,35,7675,24,391
5393,1583,35,7635,32,391
5394,1578,34,7623,33,382
5395,1543,32,7548,47,382
5396,1585,34,7512,32,387
5397,1544,33,7656,33,388
5398,1574,35,7525,34,395
5399,1552,33,7674,38,394
5400,1518,35,7538,38,386
5401,1599,33,7697,31,393
5402,1501,34,7587,38,395
5403,1544,32,7535,42,396
5404,1522,32,7666,44,386
5405,1557,34,7556,42,389
5406,1571,34,7510,39,396
5407,1577,35,7589,24,389
5408,1545,35,7683,43,389
5409,1509,33,7641,45,393
5410,1512,34,7614,36,394
5411,1594,33,7549,26,384
5412,1589,34,7581,39,388
5413,1589,35,7673,38,394
5414,1565,33,7696,40,393
5415,1530,34,7505,37,381
5416,1521,32,7642,31,390
5417,1553,33,7633,43,381
5418,1530,33,7618,25,386
5419,1541,33,7694,29,386
5420,1525,34,7596,35,380
5421,1569,35,7641,31,399
5422,1531,33,7667,39,390
5423,1515,32,7545,35,395
5424,1561,35,7633,31,382
5425,1502,32,7503,47,390
5426,1555,34,7513,28,386
5427,1572,34,7577,40,393
5428,1576,33,7595,46,396
5429,1518,33,7675,35,396
5430,1543,35,7538,40,389
5431,1583,34,7553,25,392
5432,1523,35,7595,27,397
5433,1504,33,7603,35,384
5434,1560,35,7595,47,384
5435,1542,35,7648,45,398
5436,1521,34,7567,36,386
5437,1553,34,7585,33,395
5438,1561,32,7687,28,392
5439,1559,34,7699,24,394
5440,1533,34,7545,45,396
5441,1545,33,7520,26,396
5442,1509,32,7688,33,397
5443,1500,33,7555,32,395
5444,1567,33,7691,36,393
5445,1526,34,7651,36,380
5446,1510,32,7660,34,385
5447,1570,35,7636,31,396
5448,1579,35,7643,41,395
5449,1596,35,7619,29,386
5450,1533,33,7624,35,385
5451,1516,34,7649,43,397
5452,1509,34,7667,25,399
5453,1592,34,7538,42,391
5454,1519,33,7522,26,380
5455,1542,35,7548,45,389
5456,1550,33,7526,47,383
5457,1539,32,7538,28,390
5458,1511,32,7560,25,395
5459,1587,33,7555,40,387
5460,1556,34,7629,35,393
5461,1576,33,7590,41,399
5462,1580,32,7598,42,382
5463,1581,34,7683,25,390
5464,1556,32,7662,47,385
5465,1518,32,7642,29,393
5466,1556,34,7677,31,380
5467,1531,32,7597,27,383
5468,1550,35,7660,31,380
5469,1565,33,7636,27,383
5470,1524,35,7605,45,381
5471,1519,35,7546,36,387
5472,1529,32,7661,31,394
5473,1531,35,7515,39,386
5474,1546,35,7568,37,393
5475,1540,35,7662,41,397
5476,1527,32,7500,29,383
5477,1546,35,7674,39,389
5478,1519,32,7680,43,383
5479,1561,35,7603,28,389
5480,1524,33,7647,42,387
5481,1576,33,7619,39,390
5482,1522,35,7548,45,390
5483,1503,35,7651,45,384
5484,1511,33,7653,33,384
5485,1597,35,7676,40,399
5486,1547,34,7649,31,396
5487,1515,34,7501,32,384
5488,1539,34,7580,45,397
5489,1527,35,7664,39,381
5490,1555,33,7677,39,399
5491,1506,35,7626,38,384
5492,1574,32,7592,26,385
5493,1522,35,7558,26,387
5494,1589,35,7684,24,380
5495,1509,35,7506,27,389
5496,1516,32,7575,42,383
5497,1510,35,7504,32,390
5498,1574,35,7686,25,397
5499,1509,34,7604,41,391
5500,1553,34,7673,37,396
5501,1533,32,7618,29,393
5502,1506,32,7668,34,398
5503,1595,33,7687,35,394
5504,1552,35,7619,42,383
5505,1564,33,7680,32,382
5506,1531,34,7507,31,399
5507,1588,32,7699,44,397
5508,1586,35,7519,45,387
5509,1558,34,7508,32,399
5510,1501,32,7652,31,380
5511,1500,32,7571,29,394
5512,1517,35,7518,39,383
5513,1539,34,7656,38,381
5514,1593,34,7676,44,380
5515,1531,34,7674,45,386
5516,1544,32,7629,26,390
5517,1513,32,7606,24,382
5518,1586,35,7552,42,392
5519,1582,35,7524,41,386
5520,1500,32,7624,45,389
5521,1582,32,7694,33,392
5522,1565,34,7533,41,389
5523,1529,34,7687,28,387
5524,1553,33,7695,36,391
5525,1551,35,7611,27,393
5526,1518,33,7673,29,398
5527,1514,35,7588,27,384
5528,1500,32,7624,30,387
5529,1546,32,7597,36,383
5530,1572,33,7662,24,385
5531,1557,34,7533,42,388
5532,1552,33,7609,31,390
5533,1528,32,7542,29,390
5534,1555,32,7651,29,396
5535,1516,32,7630,37,394
5536,1565,33,7507,47,397
5537,1539,34,7675,37,384
5538,1551,33,7533,46,398
5539,1568,35,7598,32,395
5540,1578,35,7697,40,399
5541,1590,34,7635,27,399
5542,1536,33,7586,37,392
5543,1588,34,7602,30,391
5544,1554,34,7692,43,391
5545,1569,33,7637,31,386
5546,1585,35,7598,37,380
5547,1529,32,7627,26,381
5548,1550,33,7634,39,393
5549,1556,32,7613,24,392
5550,1515,33,7545,47,383
5551,1521,34,7638,32,388
5552,1599,35,7600,47,386
5553,1586,35,7649,42,385
5554,1573,32,7534,34,380
5555,1502,35,7512,47,393
5556,1541,32,7645,43,382
5557,1583,35,7651,43,397
5558,1526,35,7610,29,386
5559,1595,33,7674,28,396
5560,1529,33,7669,37,391
5561,1599,34,7663,46,392
5562,1537,34,7616,45,388
5563,1537,35,7547,28,382
5564,1527,35,7666,27,381
5565,1502,34,7632,42,388
5566,1505,34,7681,24,391
5567,1546,35,7573,42,380
5568,1561,32,7666,24,393
5569,1517,33,7654,33,393
5570,1543,34,7641,25,381
5571,1579,32,7507,29,395
5572,1500,34,7664,30,399
5573,1519,35,7592,31,384
5574,1570,33,7682,44,398
5575,1538,32,7605,36,383
5576,1523,33,7518,32,382
5577,1564,35,7568,35,395
5578,1555,33,7627,44,397
5579,1528,33,7652,29,390
5580,1500,33,7644,41,398
5581,1511,35,7604,44,398
5582,1542,33,7505,26,386
5583,1521,33,7595,31,393
5584,1574,35,7530,33,390
5585,1579,32,7600,28,382
5586,1576,33,7571,45,381
5587,1512,34,7509,40,387
5588,1553,32,7631,34,396
5589,1544,34,7548,33,384
5590,1525,33,7663,38,380
5591,1583,35,7627,35,394
5592,1530,33,7659,43,389
5593,1552,34,7623,33,385
5594,1581,35,7658,43,392
5595,1573,33,7673,32,398
5596,1542,33,7574,33,386
5597,1573,34,7699,44,395
5598,1522,35,7573,28,395
5599,1516,32,7558,31,383
5600,1571,34,7677,29,388
5601,1544,34,7595,36,388
5602,1523,32,7628,31,399
5603,1505,33,7542,30,387
5604,1512,32,7540,38,396
5605,1570,32,7563,34,393
5606,1569,33,7520,42,382
5607,1514,32,7519,28,396
5608,1554,35,7683,29,391
5609,1595,32,7530,36,397
5610,1537,33,7606,29,391
5611,1557,35,7504,28,381
5612,1513,33,7543,45,391
5613,1501,34,7588,37,385
5614,1533,35,7655,30,380
5615,1511,33,7544,47,386
5616,1549,33,7642,36,386
5617,1590,35,7677,36,399
5618,1587,35,7527,44,383
5619,1522,35,7636,39,382
5620,1542,34,7564,47,389
5621,1507,35,7671,45,385
5622,1518,32,7507,28,393
5623,1551,35,7637,41,387
5624,1549,32,7581,29,381
5625,1565,34,7538,24,392
5626,1591,35,7527,25,393
5627,1520,34,7691,41,398
5628,1512,35,7632,29,383
5629,1540,34,7547,25,396
5630,1502,32,7614,38,396
5631,1591,34,7684,29,388
5632,1514,35,7560,40,391
5633,1561,35,7633,35,397
5634,1531,32,7627,38,394
5635,1550,34,7617,47,381
5636,1547,33,7622,41,394
5637,1569,32,7636,32,397
5638,1558,33,7500,41,393
5639,1506,32,7674,31,395
5640,1535,32,7578,27,380
5641,1506,34,7525,37,389
5642,1558,35,7623,24,391
5643,1527,35,7559,38,395
5644,1540,32,7658,46,392
5645,1546,33,7544,25,385
5646,1584,33,7526,32,382
5647,1563,33,7675,42,398
5648,1537,34,7562,30,387
5649,1585,33,7699,33,393
5650,1590,33,7594,33,387
5651,1565,35,7642,35,393
5652,1560,34,7618,42,382
5653,1536,34,7617,41,380
5654,1510,35,7531,39,383
5655,1523,32,7671,47,384
5656,1595,34,7667,43,385
5657,1573,35,7651,42,392
5658,1557,35,7621,45,380
5659,1561,33,7557,26,398
5660,1556,34,7558,44,390
5661,1588,35,7552,47,382
5662,1519,33,7517,44,392
5663,1500,32,7562,30,395
5664,1510,33,7618,36,387
5665,1550,33,7604,40,393
5666,1586,34,7671,24,399
5667,1509,33,7501,40,399
5668,1577,33,7505,41,396
5669,1534,32,7617,47,396
5670,1589,33,7558,32,387
5671,1518,35,7643,40,395
5672,1575,34,7590,35,380
5673,1527,32,7526,24,384
5674,1589,32,7556,39,396
5675,1570,33,7619,46,389
5676,1531,32,7510,32,390
5677,1555,35,7685,25,397
5678,1507,32,7571,32,392
5679,1586,33,7618,27,380
5680,1511,32,7629,28,386
5681,1586,34,7653,27,394
5682,1519,33,7586,28,388
5683,1545,32,7520,44,395
5684,1510,33,7632,36,396
5685,1508,35,7599,36,389
5686,1520,32,7590,43,394
5687,1588,32,7536,47,388
5688,1525,32,7555,26,392
5689,1537,32,7600,28,399
5690,1598,35,7629,33,386
5691,1584,33,7600,44,396
5692,1561,35,7516,36,392
5693,1524,35,7673,41,392
5694,1503,34,7534,41,391
5695,1583,32,7537,32,384
5696,1526,32,7659,45,394
5697,1517,34,7573,42,384
5698,1574,34,7587,27,386
5699,1571,32,7676,45,387
5700,1503,34,7567,33,386
5701,1538,32,7640,26,382
5702,1547,34,7590,34,384
5703,1568,34,7694,47,383
5704,1510,33,7643,43,397
5705,1527,32,7524,26,383
5706,1576,34,7540,33,386
5707,1582,32,7593,24,398
5708,1560,35,7512,36,396
5709,1565,34,7588,26,393
5710,1534,34,7583,30,390
5711,1522,34,7674,44,387
5712,1579,35,7572,36,385
5713,1504,35,7625,46,398
5714,1500,32,7630,36,387
5715,1534,32,7567,47,386
5716,1506,35,7624,31,388
5717,1525,33,7660,37,384
5718,1540,35,7660,36,381
5719,1532,32,7512,26,397
5720,1513,34,7621,25,384
5721,1522,32,7578,29,389
5722,1587,34,7561,27,392
5723,1533,35,7536,27,387
5724,1537,34,7574,32,382
5725,1522,35,7574,28,380
5726,1592,32,7629,27,383
5727,1507,35,7580,46,386
5728,1528,33,7674,31,386
5729,1569,35,7540,25,397
5730,1597,32,7641,26,397
5731,1522,35,7538,28,389
5732,1581,35,7553,40,384
5733,1533,32,7543,35,382
5734,1594,35,7568,29,383
5735,1565,34,7524,36,381
5736,1566,33,7696,32,393
5737,1563,34,7644,27,389
5738,1513,35,7671,25,389
5739,1599,35,7626,27,381
5740,1569,33,7625,36,385
5741,1511,34,7670,32,397
5742,1532,33,7509,33,399
5743,1542,32,7599,32,396
5744,1587,33,7603,40,390
5745,1539,35,7691,32,398
5746,1523,33,7512,30,394
5747,1523,32,7632,29,394
5748,1547,35,7595,37,391
5749,1532,33,7629,47,393
5750,1567,35,7683,34,399
5751,1561,35,7568,35,382
5752,1595,32,7573,26,380
5753,1518,32,7608,28,381
5754,1555,34,7527,43,389
5755,1511,34,7557,28,383
5756,1562,33,7623,36,387
5757,1508,33,7688,33,393
5758,1566,32,7607,26,399
5759,1513,32,7677,33,395
5760,1524,34,7514,29,397
5761,1528,32,7516,39,383
5762,1590,32,7627,30,384
5763,1531,34,7535,26,391
5764,1533,33,7697,36,393
5765,1541,32,7568,32,397
5766,1573,35,7589,39,385
5767,1588,34,7583,35,392
5768,1518,32,7650,25,390
5769,1539,33,7559,38,390
5770,1525,35,7578,46,383
5771,1599,32,7553,30,387
5772,1548,33,7525,44,383
5773,1592,35,7607,43,385
5774,1540,34,7572,46,387
5775,1516,34,7654,47,399
5776,1550,32,7509,31,388
5777,1581,33,7615,33,387
5778,1569,32,7521,36,397
5779,1541,33,7593,30,394
5780,1506,35,7535,24,385
5781,1570,34,7624,26,386
5782,1567,34,7559,39,395
5783,1558,33,7686,46,397
5784,1503,34,7650,33,392
5785,1559,32,7652,27,393
5786,1565,35,7647,30,390
5787,1584,33,7690,24,386
5788,1518,34,7547,35,387
5789,1530,35,7653,43,381
5790,1539,35,7513,47,397
5791,1524,33,7573,34,394
5792,1536,35,7599,43,384
5793,1500,32,7519,38,394
5794,1593,32,7547,30,389
5795,1554,34,7661,37,388
5796,1516,34,7685,27,391
5797,1515,34,7546,37,380
5798,1535,35,7562,37,391
5799,1583,34,7549,34,380
5800,1574,33,7556,25,382
5801,1519,33,7593,26,382
5802,1540,33,7580,33,396
5803,1585,34,7616,38,385
5804,1572,34,7543,32,392
5805,1531,34,7622,38,396
5806,1537,34,7595,26,393
5807,1567,32,7515,40,386
5808,1553,32,7584,32,398
5809,1567,34,7542,41,389
5810,1519,32,7504,38,396
5811,1583,32,7682,43,390
5812,1533,34,7697,35,397
