,Carbonato_sodio [%],Caliza [%],Silica_arena [%],Densidad [g/cm3]
5014,13,11,66,2409
5015,15,6,66,2512
5016,17,5,69,2480
5017,16,7,63,2471
5018,17,5,67,2564
5019,15,7,67,2532
5020,14,9,64,2436
5021,12,5,60,2529
5022,17,7,62,2536
5023,17,6,69,2425
5024,14,8,65,2527
5025,13,8,64,2531
5026,16,9,65,2580
5027,13,5,68,2488
5028,13,7,67,2477
5029,13,10,60,2420
5030,14,8,60,2401
5031,13,7,62,2417
5032,13,8,68,2445
5033,13,6,69,2418
5034,17,5,68,2434
5035,15,8,69,2580
5036,13,10,69,2554
5037,17,9,64,2419
5038,12,7,67,2405
5039,14,11,64,2419
5040,16,10,69,2496
5041,15,7,66,2524
5042,13,7,60,2547
5043,12,8,66,2579
5044,12,5,61,2570
5045,13,6,61,2490
5046,13,7,64,2500
5047,16,6,67,2477
5048,14,7,69,2423
5049,14,9,66,2424
5050,14,6,63,2458
5051,12,11,68,2528
5052,14,11,62,2406
5053,16,6,60,2423
5054,12,5,61,2407
5055,13,9,65,2567
5056,15,7,68,2517
5057,13,8,68,2559
5058,17,5,62,2514
5059,13,5,69,2537
5060,12,6,63,2413
5061,14,6,61,2490
5062,15,9,68,2586
5063,14,11,64,2550
5064,17,6,63,2437
5065,14,11,61,2481
5066,12,6,62,2471
5067,15,9,66,2542
5068,16,10,65,2444
5069,14,9,63,2565
5070,17,11,65,2400
5071,17,7,69,2539
5072,14,7,63,2402
5073,15,6,62,2483
5074,13,10,60,2439
5075,14,9,64,2428
5076,13,8,61,2480
5077,15,10,60,2464
5078,14,11,64,2444
5079,14,6,69,2496
5080,16,11,60,2542
5081,16,8,65,2412
5082,16,7,67,2414
5083,17,8,68,2466
5084,16,8,67,2479
5085,15,9,63,2419
5086,15,9,65,2591
5087,14,5,67,2510
5088,13,7,61,2555
5089,14,7,63,2511
5090,17,10,68,2463
5091,14,9,67,2556
5092,12,8,61,2534
5093,17,10,61,2593
5094,13,10,66,2461
5095,12,10,62,2552
5096,16,11,69,2518
5097,14,10,67,2527
5098,12,6,69,2484
5099,14,7,69,2514
5100,15,6,69,2508
5101,17,11,60,2573
5102,12,7,69,2481
5103,12,10,68,2458
5104,12,6,63,2464
5105,17,7,69,2452
5106,15,5,66,2452
5107,12,6,62,2434
5108,15,11,67,2533
5109,13,7,60,2531
5110,16,7,65,2487
5111,12,10,67,2439
5112,16,8,63,2400
5113,14,5,65,2497
5114,17,6,62,2555
5115,14,6,68,2423
5116,17,9,63,2420
5117,16,9,68,2481
5118,14,7,66,2419
5119,13,7,62,2407
5120,17,9,60,2524
5121,17,11,66,2482
5122,16,5,60,2527
5123,16,10,67,2589
5124,12,10,69,2410
5125,15,8,67,2443
5126,15,7,68,2591
5127,13,9,61,2442
5128,12,8,63,2467
5129,12,8,63,2511
5130,14,6,68,2569
5131,15,11,63,2457
5132,13,10,69,2450
5133,14,7,63,2520
5134,13,6,69,2451
5135,14,11,66,2515
5136,16,10,68,2535
5137,13,9,60,2448
5138,12,11,61,2538
5139,13,11,61,2435
5140,17,5,61,2564
5141,15,10,63,2563
5142,13,11,64,2465
5143,17,9,68,2543
5144,13,8,60,2481
5145,15,6,62,2407
5146,17,7,66,2403
5147,15,5,67,2586
5148,17,9,66,2415
5149,13,11,66,2570
5150,17,11,60,2537
5151,14,10,60,2441
5152,17,7,64,2591
5153,14,7,63,2460
5154,16,11,64,2526
5155,15,10,64,2519
5156,12,9,68,2456
5157,12,6,66,2493
5158,13,8,62,2542
5159,12,11,60,2571
5160,13,8,67,2568
5161,12,7,62,2553
5162,12,8,60,2484
5163,17,9,66,2474
5164,12,5,66,2500
5165,13,6,60,2468
5166,13,8,63,2551
5167,17,10,67,2597
5168,13,8,61,2579
5169,15,8,69,2530
5170,14,11,65,2569
5171,13,5,64,2535
5172,16,7,65,2587
5173,16,7,64,2423
5174,15,5,63,2509
5175,16,11,69,2485
5176,16,9,64,2412
5177,17,11,65,2581
5178,15,11,65,2592
5179,15,10,69,2577
5180,17,7,68,2459
5181,14,9,64,2494
5182,15,5,69,2492
5183,17,8,69,2553
5184,17,8,65,2480
5185,16,5,68,2543
5186,12,5,63,2503
5187,15,5,66,2554
5188,16,8,66,2545
5189,17,10,66,2415
5190,17,9,68,2571
5191,12,9,68,2551
5192,16,11,65,2401
5193,12,10,62,2419
5194,12,10,68,2479
5195,15,5,64,2564
5196,12,11,60,2462
5197,14,6,69,2533
5198,17,8,63,2563
5199,14,9,63,2417
5200,14,11,69,2500
5201,15,8,60,2528
5202,17,11,65,2465
5203,15,8,68,2564
5204,12,8,66,2531
5205,15,11,61,2496
5206,14,8,62,2545
5207,15,8,62,2508
5208,13,9,61,2561
5209,12,6,60,2537
5210,15,7,64,2593
5211,17,9,60,2415
5212,16,7,66,2592
5213,12,6,68,2418
5214,15,11,67,2587
5215,12,9,67,2549
5216,12,6,64,2422
5217,16,11,66,2419
5218,14,10,60,2402
5219,15,9,66,2577
5220,15,9,65,2410
5221,14,8,62,2521
5222,15,11,63,2434
5223,16,7,67,2531
5224,12,8,66,2447
5225,16,8,66,2557
5226,12,6,63,2487
5227,17,10,68,2439
5228,13,5,66,2593
5229,13,5,67,2562
5230,16,8,64,2542
5231,17,8,64,2448
5232,14,10,68,2467
5233,12,8,61,2544
5234,17,5,68,2596
5235,16,11,68,2517
5236,14,9,69,2556
5237,14,5,62,2509
5238,14,7,64,2543
5239,13,9,61,2565
5240,16,10,62,2553
5241,17,5,67,2461
5242,15,8,68,2591
5243,12,9,68,2491
5244,15,7,64,2536
5245,14,10,64,2532
5246,16,10,67,2486
5247,15,7,60,2517
5248,13,8,63,2409
5249,16,9,65,2444
5250,16,8,64,2594
5251,16,7,62,2537
5252,14,8,66,2429
5253,15,9,67,2537
5254,15,10,63,2576
5255,15,6,63,2523
5256,15,9,67,2520
5257,15,10,66,2415
5258,15,6,62,2443
5259,13,10,61,2513
5260,12,6,62,2591
5261,16,9,62,2481
5262,16,11,62,2436
5263,17,8,63,2598
5264,12,8,64,2596
5265,16,9,66,2526
5266,16,5,69,2461
5267,16,8,69,2487
5268,14,9,62,2455
5269,15,9,66,2559
5270,15,7,62,2488
5271,12,8,65,2554
5272,17,8,67,2510
5273,16,11,66,2491
5274,14,7,64,2525
5275,12,10,60,2420
5276,16,11,65,2547
5277,12,6,68,2470
5278,13,11,64,2491
5279,15,9,68,2540
5280,15,11,68,2595
5281,15,7,67,2444
5282,16,11,66,2502
5283,12,8,61,2516
5284,15,10,67,2421
5285,16,7,66,2476
5286,13,6,65,2557
5287,13,5,65,2437
5288,17,11,60,2452
5289,16,9,61,2489
5290,17,11,68,2445
5291,16,11,64,2508
5292,14,6,60,2508
5293,14,10,69,2436
5294,12,5,62,2583
5295,16,11,66,2406
5296,14,11,63,2502
5297,13,5,65,2549
5298,12,10,66,2471
5299,14,9,67,2437
5300,14,9,60,2510
5301,13,7,63,2468
5302,15,10,64,2406
5303,15,6,60,2468
5304,17,8,64,2567
5305,12,8,61,2566
5306,15,9,68,2453
5307,16,10,61,2473
5308,16,7,68,2596
5309,16,11,69,2564
5310,17,11,67,2573
5311,12,5,63,2547
5312,15,5,69,2518
5313,17,6,68,2447
5314,13,5,68,2433
5315,15,10,60,2520
5316,16,11,60,2462
5317,16,8,66,2579
5318,14,6,69,2488
5319,12,7,68,2471
5320,16,5,68,2523
5321,16,11,65,2517
5322,13,6,63,2450
5323,16,10,63,2546
5324,15,10,62,2578
5325,17,9,69,2446
5326,15,5,61,2427
5327,13,10,69,2428
5328,15,10,61,2459
5329,14,8,61,2419
5330,16,10,61,2490
5331,15,7,68,2585
5332,15,7,68,2434
5333,12,9,62,2427
5334,14,6,61,2527
5335,12,6,66,2576
5336,14,6,62,2492
5337,14,5,64,2596
5338,16,11,64,2476
5339,13,6,60,2586
5340,14,9,67,2453
5341,12,7,69,2590
5342,16,6,61,2592
5343,14,10,61,2494
5344,15,11,62,2563
5345,17,8,69,2531
5346,16,8,67,2527
5347,15,6,67,2573
5348,14,5,63,2534
5349,12,10,68,2473
5350,13,6,68,2544
5351,14,7,61,2499
5352,16,9,64,2499
5353,12,8,63,2528
5354,15,5,66,2514
5355,15,9,64,2449
5356,12,6,67,2432
5357,16,10,61,2465
5358,16,11,66,2464
5359,13,7,69,2412
5360,15,10,60,2448
5361,13,5,61,2569
5362,13,5,67,2543
5363,14,8,60,2545
5364,17,9,63,2484
5365,12,10,64,2417
5366,13,7,63,2486
5367,14,8,61,2404
5368,15,8,64,2598
5369,15,9,69,2581
5370,16,5,66,2439
5371,15,9,68,2533
5372,16,7,68,2418
5373,16,9,61,2553
5374,16,8,62,2567
5375,13,10,69,2543
5376,13,7,66,2521
5377,16,11,62,2434
5378,17,6,65,2592
5379,12,11,62,2562
5380,12,7,68,2461
5381,17,7,64,2579
5382,12,6,63,2507
5383,16,7,60,2516
5384,13,5,60,2458
5385,13,5,63,2490
5386,12,10,68,2435
5387,14,7,64,2473
5388,15,8,64,2546
5389,15,8,67,2532
5390,14,11,63,2479
5391,16,10,66,2577
5392,17,11,67,2555
5393,12,6,69,2443
5394,16,8,60,2508
5395,14,10,67,2490
5396,17,8,65,2468
5397,13,7,67,2542
5398,12,10,60,2499
5399,14,9,62,2449
5400,12,9,60,2506
5401,13,5,65,2509
5402,16,11,60,2406
5403,16,5,60,2582
5404,12,7,66,2475
5405,15,5,69,2423
5406,14,6,66,2571
5407,12,5,68,2531
5408,12,6,66,2579
5409,16,5,64,2581
5410,16,11,65,2543
5411,17,7,65,2570
5412,12,6,61,2599
5413,13,6,68,2458
5414,15,9,60,2517
5415,16,11,63,2417
5416,14,11,63,2420
5417,12,10,65,2542
5418,17,8,60,2580
5419,15,6,65,2506
5420,12,9,64,2543
5421,17,7,69,2587
5422,14,11,67,2443
5423,14,6,69,2574
5424,14,5,65,2528
5425,17,10,69,2476
5426,17,9,65,2598
5427,14,5,64,2546
5428,17,7,60,2443
5429,12,9,65,2446
5430,15,11,69,2525
5431,17,8,65,2462
5432,16,11,60,2488
5433,12,7,60,2442
5434,15,11,69,2489
5435,12,10,61,2485
5436,14,5,66,2591
5437,13,11,61,2457
5438,17,9,64,2558
5439,17,10,63,2535
5440,12,6,67,2435
5441,16,10,64,2574
5442,17,10,66,2571
5443,15,5,62,2578
5444,15,10,68,2576
5445,16,7,60,2428
5446,17,10,62,2577
5447,15,6,63,2596
5448,13,8,63,2490
5449,13,6,64,2508
5450,16,11,67,2577
5451,17,11,61,2517
5452,14,8,69,2463
5453,14,11,64,2458
5454,13,6,60,2423
5455,16,9,61,2410
5456,17,9,67,2499
5457,15,7,67,2482
5458,17,11,63,2502
5459,14,10,68,2458
5460,14,7,64,2417
5461,17,6,68,2502
5462,13,11,67,2536
5463,14,10,68,2558
5464,14,7,65,2586
5465,14,8,67,2553
5466,13,8,68,2505
5467,16,10,67,2486
5468,17,8,62,2455
5469,12,10,64,2519
5470,16,5,66,2590
5471,15,10,66,2413
5472,14,8,62,2549
5473,15,5,68,2497
5474,16,8,61,2414
5475,17,8,61,2578
5476,13,8,61,2440
5477,15,7,61,2461
5478,13,10,61,2478
5479,16,10,60,2568
5480,12,10,62,2498
5481,12,5,64,2404
5482,17,10,62,2454
5483,17,6,66,2515
5484,16,7,65,2502
5485,16,11,63,2451
5486,14,8,68,2527
5487,15,8,66,2580
5488,14,11,65,2534
5489,12,7,67,2456
5490,14,5,66,2564
5491,14,6,68,2583
5492,15,9,66,2574
5493,12,10,61,2425
5494,13,6,64,2597
5495,16,11,63,2548
5496,14,9,68,2561
5497,15,8,64,2456
5498,15,5,66,2441
5499,13,8,69,2467
5500,14,10,64,2455
5501,15,7,68,2543
5502,17,8,62,2531
5503,13,7,68,2516
5504,13,10,68,2462
5505,17,9,64,2436
5506,16,11,60,2483
5507,17,9,64,2497
5508,17,10,60,2576
5509,14,11,67,2537
5510,12,7,61,2488
5511,13,11,69,2481
5512,14,9,61,2498
5513,15,11,66,2518
5514,15,9,66,2442
5515,16,8,66,2451
5516,17,9,63,2582
5517,14,8,69,2409
5518,12,11,68,2541
5519,16,7,60,2400
5520,16,10,67,2544
5521,17,6,66,2560
5522,13,9,68,2409
5523,16,6,66,2413
5524,16,9,65,2586
5525,16,8,66,2545
5526,16,11,68,2554
5527,15,9,67,2540
5528,13,8,64,2486
5529,14,7,67,2577
5530,15,8,60,2511
5531,14,6,63,2544
5532,16,11,69,2493
5533,17,6,64,2535
5534,13,10,60,2518
5535,12,9,69,2588
5536,15,5,64,2498
5537,13,8,66,2528
5538,14,6,64,2459
5539,16,6,61,2447
5540,12,9,63,2460
5541,17,5,63,2591
5542,13,7,61,2535
5543,15,6,65,2464
5544,15,5,66,2515
5545,15,9,61,2504
5546,14,5,68,2559
5547,15,8,63,2401
5548,13,11,61,2528
5549,13,10,65,2549
5550,14,5,66,2548
5551,16,7,66,2520
5552,12,11,60,2437
5553,15,5,61,2586
5554,17,7,68,2422
5555,17,9,62,2538
5556,14,6,63,2558
5557,13,6,64,2408
5558,17,8,67,2403
5559,14,9,62,2543
5560,14,9,65,2563
5561,15,7,65,2527
5562,12,9,65,2428
5563,15,9,63,2436
5564,17,10,64,2558
5565,14,8,60,2516
5566,17,8,68,2458
5567,16,11,61,2515
5568,17,8,61,2487
5569,13,5,69,2493
5570,12,9,68,2576
5571,17,11,65,2483
5572,13,11,61,2513
5573,15,5,61,2406
5574,14,10,62,2474
5575,17,5,63,2552
5576,17,9,62,2468
5577,13,6,60,2549
5578,17,10,60,2508
5579,16,8,67,2460
5580,16,11,69,2513
5581,15,5,62,2452
5582,15,7,67,2425
5583,16,5,68,2471
5584,12,7,67,2419
5585,15,11,66,2447
5586,14,11,60,2497
5587,17,10,67,2570
5588,13,9,62,2417
5589,17,5,66,2519
5590,13,11,63,2531
5591,14,8,63,2465
5592,13,8,65,2519
5593,17,10,68,2509
5594,17,11,67,2424
5595,15,5,69,2447
5596,16,8,61,2412
5597,16,5,65,2537
5598,14,8,61,2534
5599,16,10,63,2424
5600,13,11,68,2442
5601,16,9,69,2489
5602,14,7,63,2462
5603,14,8,64,2455
5604,14,9,60,2493
5605,17,5,60,2409
5606,14,7,68,2581
5607,15,10,60,2573
5608,12,5,60,2586
5609,15,8,66,2427
5610,14,8,65,2551
5611,12,9,63,2575
5612,13,10,65,2584
5613,14,9,66,2475
5614,16,10,61,2492
5615,14,9,61,2527
5616,14,11,65,2487
5617,13,11,64,2595
5618,16,5,69,2467
5619,15,6,68,2480
5620,12,8,67,2494
5621,15,11,68,2523
5622,16,9,69,2514
5623,14,5,61,2439
5624,12,9,66,2522
5625,12,6,69,2490
5626,12,9,61,2576
5627,17,7,63,2420
5628,13,9,67,2470
5629,12,9,60,2402
5630,15,10,64,2471
5631,13,9,62,2495
5632,15,5,62,2459
5633,15,10,64,2498
5634,16,9,64,2450
5635,17,8,60,2508
5636,13,9,60,2449
5637,13,9,60,2503
5638,13,7,65,2406
5639,14,9,65,2508
5640,17,6,65,2466
5641,16,8,66,2470
5642,17,8,66,2555
5643,13,8,65,2400
5644,12,5,69,2408
5645,13,6,69,2497
5646,15,10,68,2477
5647,15,11,62,2566
5648,12,6,61,2489
5649,17,7,62,2554
5650,14,9,64,2599
5651,14,11,63,2497
5652,12,5,65,2482
5653,16,9,62,2574
5654,13,7,62,2479
5655,16,7,61,2487
5656,15,10,64,2550
5657,13,5,68,2434
5658,12,6,60,2496
5659,13,7,60,2476
5660,14,6,60,2523
5661,15,7,60,2582
5662,13,6,60,2433
5663,13,7,63,2489
5664,12,5,65,2575
5665,14,8,69,2422
5666,17,10,64,2583
5667,13,11,62,2423
5668,14,8,64,2477
5669,14,6,66,2553
5670,17,11,65,2500
5671,12,6,65,2559
5672,14,11,67,2468
5673,13,9,61,2559
5674,17,10,65,2583
5675,12,6,60,2506
5676,12,6,60,2437
5677,17,10,69,2530
5678,12,6,68,2525
5679,16,10,64,2493
5680,14,5,65,2557
5681,14,11,66,2458
5682,14,8,61,2504
5683,16,6,64,2429
5684,15,11,68,2555
5685,12,6,64,2552
5686,15,9,69,2412
5687,14,8,63,2421
5688,14,5,61,2584
5689,16,10,65,2575
5690,12,6,64,2423
5691,15,7,62,2540
5692,12,8,67,2573
5693,16,11,60,2481
5694,15,7,63,2495
5695,12,11,64,2514
5696,14,9,61,2427
5697,17,10,61,2588
5698,12,9,69,2588
5699,12,6,60,2401
5700,12,10,60,2416
5701,16,11,64,2446
5702,16,8,63,2421
5703,16,11,68,2409
5704,16,9,63,2458
5705,15,5,63,2568
5706,16,8,63,2495
5707,13,8,64,2572
5708,17,9,66,2475
5709,15,5,61,2582
5710,14,6,61,2465
5711,16,7,67,2409
5712,13,8,69,2524
5713,14,5,67,2564
5714,13,5,69,2415
5715,12,9,66,2559
5716,16,11,60,2500
5717,13,10,69,2591
5718,17,8,68,2560
5719,14,8,68,2413
5720,16,8,61,2502
5721,14,6,60,2502
5722,17,8,64,2570
5723,14,10,69,2407
5724,15,10,67,2435
5725,13,10,60,2483
5726,17,8,69,2574
5727,15,6,60,2543
5728,14,11,61,2539
5729,13,5,64,2481
5730,15,11,62,2490
5731,12,7,65,2499
5732,14,9,61,2562
5733,14,7,68,2455
5734,12,5,60,2550
5735,12,7,62,2499
5736,14,7,65,2506
5737,13,5,68,2477
5738,13,8,61,2488
5739,12,10,62,2596
5740,12,6,64,2550
5741,12,11,60,2584
5742,12,11,67,2493
5743,17,8,65,2576
5744,12,8,68,2497
5745,13,11,63,2594
5746,16,6,65,2425
5747,13,10,61,2467
5748,12,8,62,2544
5749,17,9,67,2430
5750,17,6,62,2572
5751,15,6,63,2465
5752,14,10,65,2496
5753,17,7,66,2595
5754,15,9,66,2448
5755,16,10,64,2518
5756,15,8,66,2500
5757,15,11,66,2598
5758,14,9,66,2474
5759,12,7,69,2464
5760,13,10,69,2419
5761,16,6,60,2584
5762,12,5,62,2455
5763,15,6,67,2562
5764,16,8,68,2468
5765,15,7,66,2550
5766,16,6,69,2428
5767,14,6,63,2427
5768,16,10,65,2468
5769,14,9,69,2436
5770,13,9,69,2466
5771,14,11,65,2530
5772,13,9,64,2584
5773,15,10,64,2478
5774,15,7,67,2492
5775,17,8,65,2487
5776,12,10,65,2414
5777,12,11,68,2500
5778,14,7,69,2530
5779,16,7,61,2504
5780,15,11,67,2411
5781,16,8,65,2518
5782,16,10,67,2506
5783,15,5,60,2525
5784,12,11,65,2440
5785,13,11,67,2454
5786,16,8,62,2462
5787,12,9,62,2483
5788,16,10,65,2577
5789,13,9,64,2539
5790,14,6,62,2469
5791,16,5,63,2400
5792,17,11,61,2483
5793,17,8,68,2432
5794,14,9,68,2557
5795,17,7,62,2501
5796,13,6,65,2577
5797,17,11,65,2562
5798,15,10,68,2416
5799,14,6,69,2425
5800,17,8,63,2541
5801,17,10,62,2443
5802,16,8,63,2494
5803,12,11,61,2417
5804,14,9,63,2548
5805,15,5,68,2491
5806,15,6,63,2474
5807,14,11,66,2428
5808,13,10,61,2519
5809,15,10,60,2514
5810,13,11,62,2559
5811,14,9,68,2443
5812,16,11,67,2435
5813,12,5,68,2541
5814,17,6,60,2560
5815,13,11,69,2508
5816,15,7,68,2402
5817,17,9,61,2596
5818,15,8,67,2464
5819,13,9,60,2453
5820,16,10,69,2551
5821,13,11,68,2403
5822,12,8,69,2535
5823,14,5,60,2584
5824,14,6,60,2546
5825,13,11,63,2531
5826,16,6,61,2575
5827,14,11,61,2444
5828,17,11,63,2485
5829,16,11,64,2553
5830,15,7,66,2423
5831,13,8,64,2559
5832,12,10,62,2567
5833,15,11,69,2578
5834,16,5,63,2443
5835,16,10,66,2441
5836,17,11,62,2554
5837,15,11,67,2564
5838,17,5,67,2434
5839,13,6,69,2487
5840,16,9,62,2555
5841,15,9,61,2561
5842,16,11,68,2554
5843,17,5,61,2406
5844,17,6,69,2401
5845,16,10,69,2443
5846,15,6,69,2488
5847,15,6,61,2419
5848,12,10,62,2439
5849,12,11,65,2533
5850,13,6,66,2503
5851,17,7,61,2470
5852,12,8,62,2536
5853,17,11,60,2534
5854,16,10,64,2567
5855,17,6,65,2486
5856,16,10,60,2541
5857,12,6,68,2580
5858,17,5,66,2563
5859,15,8,64,2546
5860,15,10,64,2533
5861,14,6,67,2489
5862,15,9,67,2538
5863,16,5,62,2572
5864,16,11,69,2410
5865,13,6,68,2446
5866,16,11,69,2419
5867,17,7,65,2599
5868,13,9,67,2449
5869,14,11,61,2512
5870,14,6,61,2412
5871,13,6,61,2564
5872,15,7,69,2578
5873,12,6,62,2461
5874,17,10,66,2564
5875,12,8,67,2411
5876,16,5,67,2420
5877,16,9,66,2448
5878,14,7,69,2510
5879,17,7,64,2593
5880,14,8,63,2451
5881,13,5,62,2456
5882,16,7,65,2518
5883,16,5,63,2433
5884,12,8,68,2586
5885,15,10,60,2480
5886,12,11,65,2418
5887,13,7,64,2421
5888,17,8,64,2591
5889,13,7,68,2469
5890,17,10,66,2475
5891,12,10,63,2512
5892,12,6,68,2563
5893,14,11,66,2495
5894,13,9,68,2478
5895,12,5,65,2472
5896,17,6,67,2543
5897,12,7,62,2550
5898,14,10,66,2591
5899,15,7,68,2521
5900,16,8,66,2577
5901,15,6,68,2424
5902,14,9,68,2563
5903,14,6,63,2595
5904,14,5,66,2424
5905,14,10,67,2483
5906,17,10,67,2470
5907,17,11,63,2414
5908,17,10,69,2423
5909,16,10,64,2514
5910,15,9,60,2433
5911,15,5,61,2402
5912,17,8,60,2428
5913,13,10,69,2482
5914,15,10,67,2516
5915,14,5,62,2401
5916,14,6,61,2516
5917,16,8,65,2526
5918,12,8,63,2536
5919,14,6,62,2414
5920,12,5,64,2414
5921,16,6,61,2583
5922,13,7,69,2448
5923,15,6,65,2538
5924,15,10,68,2533
5925,15,7,63,2414
5926,13,8,63,2500
5927,17,10,64,2441
5928,12,8,68,2515
5929,13,5,61,2514
5930,14,9,64,2486
5931,17,7,66,2531
5932,17,8,67,2542
5933,14,7,62,2506
5934,14,5,66,2531
5935,12,10,64,2585
5936,14,7,65,2408
5937,14,7,62,2515
5938,15,6,62,2532
5939,15,6,68,2445
5940,17,10,61,2456
5941,12,9,63,2520
5942,13,8,61,2587
5943,15,9,67,2574
5944,16,8,68,2497
5945,17,7,65,2573
5946,12,7,62,2545
5947,13,8,64,2524
5948,13,9,65,2499
5949,15,10,69,2416
5950,12,7,60,2510
5951,17,10,64,2550
5952,16,7,60,2473
5953,14,11,60,2418
5954,17,9,60,2559
5955,12,10,62,2529
5956,15,11,61,2480
5957,16,8,65,2581
5958,15,9,67,2502
5959,14,8,63,2475
5960,13,9,67,2456
5961,15,7,65,2441
5962,15,8,68,2457
5963,15,8,66,2417
5964,14,5,61,2583
5965,15,5,62,2475
5966,12,9,68,2553
5967,13,7,65,2504
5968,15,7,67,2557
5969,16,10,69,2530
5970,17,10,61,2415
5971,17,10,61,2473
5972,12,7,63,2578
5973,14,7,67,2427
5974,16,9,62,2553
5975,16,9,68,2498
5976,15,8,60,2519
5977,14,9,62,2529
5978,17,7,62,2451
5979,16,9,60,2453
5980,16,10,66,2548
5981,17,5,64,2489
5982,13,7,67,2476
5983,12,9,65,2508
5984,14,10,65,2552
5985,15,6,60,2551
5986,13,11,62,2444
5987,17,7,61,2448
5988,15,9,61,2544
5989,12,9,64,2539
5990,15,5,64,2546
5991,14,9,65,2491
5992,16,11,60,2428
5993,17,11,65,2404
5994,14,11,60,2534
5995,14,11,65,2505
5996,14,11,61,2449
5997,15,9,61,2516
5998,14,5,69,2503
5999,17,9,63,2538
6000,15,5,61,2581
6001,13,9,68,2496
6002,15,7,60,2487
6003,16,6,67,2581
6004,17,9,69,2426
6005,13,5,62,2443
6006,12,11,65,2556
6007,15,8,68,2415
6008,15,5,67,2499
6009,12,5,66,2556
6010,13,8,63,2544
6011,15,9,67,2407
6012,14,9,60,2406
6013,17,10,68,2488
6014,13,5,69,2435
6015,12,10,67,2544
6016,12,8,63,2400
6017,16,10,60,2558
6018,15,10,62,2576
6019,15,6,60,2590
6020,16,10,64,2457
6021,12,11,66,2451
6022,17,5,65,2551
6023,14,9,63,2426
6024,14,9,60,2562
6025,12,10,67,2451
6026,12,8,61,2488
6027,13,11,64,2538
6028,14,9,63,2401
6029,13,10,64,2485
6030,16,9,62,2572
6031,12,7,69,2593
6032,16,7,60,2514
6033,15,10,68,2434
6034,13,7,66,2440
6035,16,6,68,2474
6036,12,8,68,2544
6037,13,7,65,2528
6038,16,8,60,2464
6039,17,9,63,2584
6040,12,5,64,2515
6041,16,8,60,2557
6042,12,9,68,2563
6043,15,5,62,2528
6044,13,11,60,2553
6045,16,9,66,2570
6046,14,6,66,2516
6047,17,10,61,2538
6048,12,5,69,2573
6049,13,8,61,2519
6050,17,6,69,2488
6051,13,5,65,2570
6052,13,9,66,2596
6053,14,7,63,2579
6054,16,5,63,2526
6055,15,10,64,2503
6056,15,10,66,2484
6057,12,7,67,2594
6058,12,8,68,2552
6059,16,8,60,2506
6060,17,11,68,2554
6061,13,8,62,2511
6062,13,7,64,2476
6063,13,10,60,2411
6064,17,8,61,2597
6065,13,11,62,2467
6066,14,6,63,2539
6067,14,11,60,2474
6068,15,7,63,2521
6069,13,5,65,2470
6070,12,5,61,2538
6071,16,7,66,2451
6072,13,9,64,2501
6073,14,6,60,2400
6074,17,7,67,2592
6075,17,6,69,2506
6076,15,9,61,2591
6077,16,7,61,2530
6078,16,8,60,2595
6079,14,11,67,2580
6080,15,7,60,2496
6081,15,7,68,2566
6082,14,11,66,2495
6083,17,8,68,2524
6084,14,5,60,2497
6085,13,10,61,2573
6086,14,8,62,2450
6087,15,5,69,2557
6088,13,8,67,2480
6089,14,7,65,2432
6090,13,8,63,2598
6091,14,6,61,2549
6092,17,10,64,2481
6093,13,6,61,2479
6094,14,6,60,2444
6095,17,10,66,2560
6096,14,6,69,2437
6097,16,10,66,2487
6098,12,5,69,2411
6099,14,9,62,2590
6100,12,9,69,2442
6101,14,7,61,2489
6102,15,7,67,2570
6103,13,10,69,2487
6104,12,6,68,2442
6105,13,11,61,2417
6106,17,10,64,2480
6107,12,11,63,2475
6108,17,5,69,2554
6109,16,6,69,2505
6110,13,9,68,2549
6111,16,8,66,2507
6112,17,6,63,2551
6113,16,10,67,2500
6114,15,6,61,2521
6115,12,11,68,2477
6116,16,8,61,2514
6117,14,8,60,2439
6118,16,9,63,2407
6119,15,9,68,2592
6120,16,10,60,2579
6121,14,8,61,2547
6122,15,8,65,2496
6123,16,8,60,2546
6124,17,9,62,2478
6125,13,6,69,2417
6126,12,8,64,2482
6127,13,10,61,2521
6128,15,5,69,2505
6129,13,7,69,2588
6130,17,6,63,2480
6131,14,6,60,2578
6132,13,9,62,2466
6133,13,7,66,2429
6134,12,10,62,2571
6135,12,7,60,2407
6136,17,8,69,2555
6137,13,11,69,2472
6138,16,11,62,2589
6139,16,6,66,2461
6140,17,8,65,2504
6141,14,5,60,2450
6142,15,11,63,2444
6143,17,7,64,2562
6144,17,11,66,2557
6145,17,5,66,2478
6146,12,11,64,2567
6147,15,5,61,2569
6148,12,8,61,2479
6149,12,8,68,2580
6150,12,11,66,2520
6151,14,9,64,2422
6152,17,7,67,2428
6153,17,6,63,2548
6154,16,7,66,2519
6155,15,10,67,2402
6156,17,7,61,2407
6157,12,8,67,2439
6158,14,9,60,2464
6159,17,6,68,2500
6160,13,6,62,2528
6161,14,10,67,2574
6162,13,10,68,2435
6163,16,11,69,2596
6164,17,11,61,2432
6165,17,7,69,2478
6166,16,6,64,2543
6167,16,7,63,2522
6168,15,8,67,2548
6169,16,8,68,2566
6170,12,5,64,2533
6171,15,7,63,2405
6172,13,9,68,2590
6173,17,5,69,2511
6174,12,8,67,2500
6175,12,5,66,2431
6176,16,11,68,2422
